지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2012-04-16,16.3,,4,1.1,47.6,11.1,3.31,24.53,,2.5
192,진주,2012-04-17,12.6,,3.4,1.1,64.8,10.9,3.4,21.79,,.9
192,진주,2012-04-18,13.2,,3.1,1,58.3,9.2,2.64,19.78,,6
192,진주,2012-04-19,12.2,1.5,2.2,.7,68.3,.1,1.32,8.32,,9.6
192,진주,2012-04-20,13.5,2.5,3.2,1.2,79.8,.1,.83,5.25,,10
192,진주,2012-04-21,12.7,93.5,2.7,1,90.4,.1,.19,1.22,,10
192,진주,2012-04-22,15,.5,7,2.4,68.4,11.2,3.34,24.94,,3.5
192,진주,2012-04-23,15.7,,3.8,1.2,71.4,10.8,3.12,23.47,,0
192,진주,2012-04-24,16.7,,3.2,1.1,74.6,8.7,3.22,21.26,,5.3
192,진주,2012-04-25,13.5,52,3,.9,93.4,0,.24,1.8,,10
192,진주,2012-04-26,13.8,,5.2,2.2,52.6,12.3,3.52,27.68,,1.8
192,진주,2012-04-27,12.6,,3.9,1.2,54.1,12.2,3.4,26.73,,0
192,진주,2012-04-28,14.6,,5,1.4,65.8,12.2,3.42,26.89,,.6
192,진주,2012-04-29,14.9,,2.1,.6,84,1.4,1.27,8.32,,8.6
192,진주,2012-04-30,16.5,.4,4.2,1.5,75.9,0,.53,3.14,,10
192,진주,2012-05-01,17.2,14,2.1,.6,82.1,0,.95,3.92,,10
192,진주,2012-05-02,18.5,.5,3.6,1.3,80.3,1,1.42,9.63,,8.4
192,진주,2012-05-03,17.7,.5,4.1,1.4,80.8,8,3.16,18.54,,6.4
192,진주,2012-05-04,19.3,,3.3,1.2,68,11.1,3.39,26.06,,2.8
192,진주,2012-05-05,20.9,0,6.9,1.9,49.1,10.1,3.25,22.18,,4.9
192,진주,2012-05-06,18.7,.1,5.9,1.8,41.8,12,3.32,25.75,,.3
192,진주,2012-05-07,18.5,,3.7,.9,56.9,10.4,3.08,23.28,,2
192,진주,2012-05-08,19.8,0,4.2,1.3,70.4,8.4,2.88,21.04,,5.9
192,진주,2012-05-09,20.2,,3.6,1.4,68.5,10.6,3.09,23.36,,1.8
192,진주,2012-05-10,16,,3.1,1.4,78,0,.91,6.4,,8.8
192,진주,2012-05-11,14.4,,3.6,1.8,67.6,.4,1.34,7.08,,10
192,진주,2012-05-12,14.5,,3.6,1.5,62.8,11.3,3.17,24.85,,3.8
192,진주,2012-05-13,14.9,,1.8,.7,70,1.9,2.05,9.27,,8.3
192,진주,2012-05-14,15,27,1.9,.6,90.9,0,.73,2.98,,9.9
192,진주,2012-05-15,18.3,.3,3.8,1,69.1,9.1,3.38,22.99,,6
192,진주,2012-05-16,18.1,,3.6,1.5,67.6,10.1,3.26,23.8,,3.6
192,진주,2012-05-17,18.5,0,6.8,2.5,52,11.8,2.76,21.32,,2.5
192,진주,2012-05-18,16.2,,3.8,1.1,61,11.1,3.51,26.59,,2.1
192,진주,2012-05-19,15.4,,2.6,.7,65.9,1.7,1.57,13.75,,7.3
192,진주,2012-05-20,17.5,,2.9,1,65,12,3.38,26.53,,2.6
192,진주,2012-05-21,19.3,,4.2,1.4,59.1,12,3.29,24.16,,.9
192,진주,2012-05-22,19.8,,3.3,1.2,54.5,11.4,3.4,26.02,,2.6
192,진주,2012-05-23,20.8,,3.4,1.1,58.8,9.8,3.23,23.27,,5.6
192,진주,2012-05-24,20.6,,3.4,.9,62.4,5.5,2.99,17.96,,7.9
192,진주,2012-05-25,19.7,.1,3.2,1.3,70.6,5.5,3.09,18.24,,7.4
192,진주,2012-05-26,19.9,,3.3,1,49.6,11.7,3.4,26.63,,3.8
192,진주,2012-05-27,19.9,,3.3,1,53,11.9,3.3,26.07,,0
192,진주,2012-05-28,19.4,0,3.2,1,65.8,6.9,3.03,18.45,,1.9
192,진주,2012-05-29,20.1,,3.2,1.1,70.4,7.7,3.1,22.38,,3.5
192,진주,2012-05-30,18.1,5,3.2,1.1,82,0,.91,6.12,,9.8
192,진주,2012-05-31,19.8,0,4,1.6,71,7.1,3.23,21.06,,6.6
192,진주,2012-06-01,20,,2.9,1,73.4,4.5,2.91,18.61,,7.4
192,진주,2012-06-02,20.6,1.5,3.6,1.2,64.6,5.6,3.3,19.93,,6.6
192,진주,2012-06-03,21.1,,3.5,1.2,65,12,3.29,26.35,,2.8
192,진주,2012-06-04,21.1,,3.6,1.1,65.4,4.3,2.83,16.87,,7
192,진주,2012-06-05,22.4,,3.3,1.2,66.5,9.9,3.4,25.43,,4
192,진주,2012-06-06,22.4,,3,1.1,66.9,6.2,3.07,20.42,,6.1
192,진주,2012-06-07,22.4,,3.5,1.3,70.8,8.5,3.17,22.45,,5.5
192,진주,2012-06-08,19.6,1.5,3.2,.9,87.1,.4,.58,4.05,,9.4
192,진주,2012-06-09,21.2,,2.9,1.1,78.6,4.3,2.17,13.88,,7.3
