지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2016-08-06,28.3,,2.5,1,67.5,11.5,2.08,15.93,,
192,진주,2016-08-07,28.2,,3.6,1.1,69.8,11.9,2.2,16.95,,
192,진주,2016-08-08,27.5,.4,5.5,1,73,10.1,2.19,15.26,,
192,진주,2016-08-09,27.4,0,3.1,1,73.8,5.6,1.79,10.86,,
192,진주,2016-08-10,29.1,,3.3,1.1,67,11.3,2.17,15.71,,
192,진주,2016-08-11,29.9,,3.2,1,67.1,10.8,2.13,16.43,,
192,진주,2016-08-12,30.5,,3.1,1.1,66.3,11.5,2.02,15.46,,
192,진주,2016-08-13,29.9,,2.9,1,64.4,12,2.03,15.57,,
192,진주,2016-08-14,29.8,,2.7,.9,64.6,11.2,2.12,15.95,,
192,진주,2016-08-15,27.7,11,4.1,.8,76.6,5.1,1.59,9.16,,
192,진주,2016-08-16,27.1,,5.3,.8,76,3.7,1.92,9.76,,
192,진주,2016-08-17,26.8,13.9,3.6,.9,78.3,6.5,2.08,12.73,,
192,진주,2016-08-18,27.2,,2.4,1,71.6,8.6,2.11,14.29,,
192,진주,2016-08-19,27.5,,3.1,.9,68.9,11,2.1,15.86,,
192,진주,2016-08-20,28,,3.5,1.3,65,11.8,2.15,15.96,,
192,진주,2016-08-21,28,,3.5,1.3,63,11.8,1.95,15.1,,
192,진주,2016-08-22,28.4,.2,2.9,1.2,65.3,10.3,2.2,15.45,,
192,진주,2016-08-23,26.8,1.1,3.4,.9,73,4,1.5,8.28,,
192,진주,2016-08-24,26.9,,3.7,1.3,59,11.7,2.14,16.2,,
192,진주,2016-08-25,26.6,,2.8,1,69,11.9,2.13,15.28,,
192,진주,2016-08-26,22.1,3.8,4,1.1,80.6,.2,.59,3.06,,
192,진주,2016-08-27,22.9,.2,4,1.6,57.4,4.4,1.46,10.95,,
192,진주,2016-08-28,18.7,31.8,3.1,1.4,82.9,.6,.55,3.48,,
192,진주,2016-08-29,21.1,.1,4.6,1.8,61.1,11.7,1.99,15.51,,
192,진주,2016-08-30,22,,4.7,2.1,55.1,5.1,1.28,7.59,,
192,진주,2016-08-31,24.8,0,7.3,4.3,43.6,11.5,2.04,16.09,,
192,진주,2016-09-01,25,20.8,4,1.8,64.3,11,2.01,14.72,,
192,진주,2016-09-02,19.2,76.4,2.8,.8,89.8,0,.12,.89,,
192,진주,2016-09-03,21.8,44.1,2.1,.7,88.4,.7,.86,4.13,,
192,진주,2016-09-04,23.6,17.1,3.8,.9,86,1.9,1.17,7.6,,
192,진주,2016-09-05,24.9,.5,2.3,.6,82.9,3,1.61,8.56,,
192,진주,2016-09-06,24.2,0,1.7,.7,81.4,.6,.93,5.54,,
192,진주,2016-09-07,23.6,0,1.8,.6,79.5,.7,1.02,5.76,,
192,진주,2016-09-08,23.3,,2.4,.8,68.1,10.9,2.03,14.49,,
192,진주,2016-09-09,23.1,,2.8,.8,74,6.7,1.69,11.75,,
192,진주,2016-09-10,22.9,1.6,2.5,.8,78.4,2.6,1.54,6.93,,
192,진주,2016-09-11,22.2,1.6,2.8,.7,79.6,1.2,1.29,7.42,,
192,진주,2016-09-12,20.3,8.5,2.6,.7,84.9,1,.94,4.37,,
192,진주,2016-09-13,21.8,,3.4,.9,74.6,11.3,1.99,14.19,,
192,진주,2016-09-14,22.1,,2.3,.6,77.3,6.8,2.08,10.98,,
192,진주,2016-09-15,23.3,,2.5,.9,73.9,6.5,1.92,11.68,,
192,진주,2016-09-16,22.2,2.7,1.8,.7,86.1,.1,.51,3.17,,
192,진주,2016-09-17,19.3,174.5,3.7,.9,90,0,.21,.77,,
192,진주,2016-09-18,19.6,4.5,2.9,1.2,85.1,0,.47,2.13,,
192,진주,2016-09-19,20.7,0,4.4,2.3,62.5,2.2,1.21,6.67,,
192,진주,2016-09-20,18.9,,4.4,2.2,57,9.2,1.91,12.82,,
192,진주,2016-09-21,18,,3.1,1,68.4,6.8,1.81,10.14,,
192,진주,2016-09-22,19,,2,.7,75,.7,1.48,5.46,,
192,진주,2016-09-23,19.8,,3,.8,74.1,8.5,1.9,12.81,,
192,진주,2016-09-24,20.5,,2.8,.7,73.3,10.3,1.89,13.01,,
192,진주,2016-09-25,20.9,,2.3,.6,75.8,4.4,1.49,9.05,,
192,진주,2016-09-26,21.7,3.8,2.2,.5,82.4,.2,.76,4.17,,
192,진주,2016-09-27,24.1,,2.3,.8,82,2.3,1.19,7.14,,
192,진주,2016-09-28,22,16.7,1.9,.5,90,.3,.39,1.82,,
192,진주,2016-09-29,18.7,4,2.8,.8,86.4,0,.38,1.83,,
192,진주,2016-09-30,17,30.7,1.7,.7,88.5,0,.39,2.22,,
192,진주,2016-10-01,19.2,.5,1.8,.5,86.6,.1,.76,4.14,,
192,진주,2016-10-02,21.4,.5,1.8,.5,86.4,.6,1.23,5.4,,
192,진주,2016-10-03,23.6,,3.5,.7,83.6,3.3,1.22,6.38,,
192,진주,2016-10-04,21.8,1.9,3.8,1.3,72.1,7.4,1.77,10.27,,
192,진주,2016-10-05,20,82.2,7.9,2.2,81.4,3.9,1.64,7.05,,
192,진주,2016-10-06,18.9,,2.9,.7,68.5,10.5,1.89,12.85,,
192,진주,2016-10-07,18.3,1.6,2.7,.7,79.9,1.7,.85,4.71,,
192,진주,2016-10-08,17.2,26.8,3,.6,85.6,0,.43,2.17,,
192,진주,2016-10-09,14,,3.9,1.6,52.8,10.6,1.93,13.26,,
192,진주,2016-10-10,14.4,,3.4,.8,69.9,5,1.76,9,,
192,진주,2016-10-11,14.3,,2.3,.4,78.4,.8,.85,4.82,,
192,진주,2016-10-12,15.6,,2.9,.7,69.9,8.2,1.77,10.61,,
192,진주,2016-10-13,15.2,,1.4,.3,79.1,.3,1.03,5.2,,
192,진주,2016-10-14,14.8,,2.8,.5,72.1,10,1.65,10.73,,
192,진주,2016-10-15,15.4,,2.6,.5,75.9,8.3,1.44,8.75,,
192,진주,2016-10-16,14.9,41.7,1.4,.4,90.8,0,.32,1.49,,
192,진주,2016-10-17,18,,1.9,.6,84.3,4.6,1.59,8.56,,
192,진주,2016-10-18,16.7,,2.4,.6,78.6,4.2,1.1,7.13,,
192,진주,2016-10-19,16.7,,2,.4,79.6,8,1.47,8.75,,
192,진주,2016-10-20,16.2,,2,.6,78.1,3.3,1.44,6.61,,
192,진주,2016-10-21,16.5,0,3.1,1.1,70.3,0,.56,3.34,,
192,진주,2016-10-22,16.6,0,2.4,.8,72.3,3.7,1.42,6.89,,
192,진주,2016-10-23,15.7,,4.1,1.7,64.6,.5,.67,3.34,,
192,진주,2016-10-24,14.8,,2.8,1.1,63.4,8.4,1.6,9.78,,
192,진주,2016-10-25,14.9,3.5,3.3,.7,82.6,3.3,1.17,4.61,,
192,진주,2016-10-26,13.9,,2.1,.6,77.6,4.7,1.32,6.48,,
192,진주,2016-10-27,14.2,,3,.9,70.6,.6,.74,4.42,,
192,진주,2016-10-28,14,10.7,2.8,1,81.4,.1,.24,1.58,,
192,진주,2016-10-29,12.7,,2.6,1,68.3,1.7,.84,5.03,,
192,진주,2016-10-30,8.8,,3.8,.9,64.8,7.8,1.64,9.28,,
192,진주,2016-10-31,7.9,.7,1.9,.5,80.9,.2,.28,1.75,,
192,진주,2016-11-01,6,,3.8,1.7,50.9,9.8,1.64,10.66,,
192,진주,2016-11-02,5.5,,3.8,1.1,56.3,9.8,1.61,10.32,,
192,진주,2016-11-03,7.7,,1.8,.7,73.1,8.7,1.43,8.64,,
192,진주,2016-11-04,9.6,,2.6,.9,69,9.2,1.49,9.28,,
192,진주,2016-11-05,10.8,,3.4,.8,77.9,7.5,1.45,8.25,,
192,진주,2016-11-06,11.5,,3.5,.9,75.6,1,.64,3.32,,
192,진주,2016-11-07,12.4,,2.4,.7,71.9,8,1.31,7.76,,
192,진주,2016-11-08,11.1,0,4.2,1.5,54.8,5.3,1.33,6.61,,
192,진주,2016-11-09,5.8,,3.6,1.1,46.9,9.3,1.51,9.37,,
192,진주,2016-11-10,9.2,0,3,.9,64.3,3.3,1.09,6.22,,
192,진주,2016-11-11,9,,2.4,.7,69.5,9,1.42,8.49,,
192,진주,2016-11-12,9.3,,2.6,.6,72.1,8,1.3,7.27,,
192,진주,2016-11-13,11.4,1.1,1.9,.6,80.6,2,.64,3.85,,
192,진주,2016-11-14,14.3,4,3.1,.6,90.4,.2,.49,1.73,,
192,진주,2016-11-15,11.3,,3.6,1,56,8.5,1.47,8.84,,
192,진주,2016-11-16,6.7,,2,.5,61,8.6,1.4,8.1,,
192,진주,2016-11-17,9.1,,2.4,.7,61.9,7.2,1.28,7.13,,
192,진주,2016-11-18,9.8,25,1.6,.5,81.6,3.3,1.07,4.23,,
192,진주,2016-11-19,13.7,.6,1.5,.3,89,3,.94,3.44,,
192,진주,2016-11-20,12.9,,1.9,.5,79.8,7.2,1.19,6.01,,
192,진주,2016-11-21,10.7,,1.2,.3,82.6,1.6,.43,2.78,,
192,진주,2016-11-22,8.8,,3.9,1.3,58.4,1.9,1.01,4.12,,
192,진주,2016-11-23,6.5,,3.7,1.4,32.9,5.6,1.2,6.52,,
192,진주,2016-11-24,3.1,,4.8,2.4,33.5,8.8,1.46,8.85,,
192,진주,2016-11-25,3.2,,2.5,.8,50.3,8.8,1.37,8.07,,
192,진주,2016-11-26,1.3,1.8,1.9,.7,75.5,.4,.3,1.4,,
192,진주,2016-11-27,4.5,,3.2,.9,73.4,4.7,1.01,5.02,,
192,진주,2016-11-28,3.9,,2.8,.8,61.5,8.4,1.3,7.63,,
192,진주,2016-11-29,3.7,,3.5,1,56,8.7,1.35,8.45,,
192,진주,2016-11-30,7,4.5,1.8,.6,71,.1,.67,2.23,,
192,진주,2016-12-01,7.3,,4,1.2,59.1,6.1,1.09,5.62,,
192,진주,2016-12-02,2.6,,1.9,.5,60.9,8.7,1.39,8.6,,
192,진주,2016-12-03,2.9,,1.6,.4,63.1,7.2,1.23,6.99,,
192,진주,2016-12-04,4,,1.7,.4,75.3,.9,.47,2.84,,
192,진주,2016-12-05,6.4,,2.4,.5,76.1,7,1.05,5.79,,
192,진주,2016-12-06,3.6,,4.6,1.2,40,8.7,1.37,8.13,,
192,진주,2016-12-07,.4,,2.3,.6,68.4,3.3,.88,4.19,,
192,진주,2016-12-08,3.2,,2.9,.7,70.4,6.4,1.23,6.52,,
192,진주,2016-12-09,6.9,,4.2,1.6,49.9,8.2,1.18,6.6,,
192,진주,2016-12-10,1.7,,2.7,.7,45.4,8.6,1.32,7.91,,
192,진주,2016-12-11,-.2,,3.2,.6,47.3,8.5,1.35,8.05,,
192,진주,2016-12-12,3.7,,2,.5,54.9,2.6,.8,4.02,,
192,진주,2016-12-13,6.2,,2.4,.7,64,.2,.46,2.42,,
192,진주,2016-12-14,2.7,,3.5,1.3,48.1,7,1.35,6.64,,
192,진주,2016-12-15,-.2,,5.7,1.9,47.6,8.6,1.29,7.97,,
192,진주,2016-12-16,-1.2,,4.1,1.1,35.8,8.6,1.38,8.1,,
192,진주,2016-12-17,0,,2,.4,62.6,8.5,1.3,7.88,,
192,진주,2016-12-18,1.6,,2.1,.4,71.6,8.3,1.38,6.82,,
192,진주,2016-12-19,5.9,11,1.6,.5,86.6,.1,.15,.77,,
192,진주,2016-12-20,8.2,,3.3,.7,81.5,5.9,1.15,5.97,,
192,진주,2016-12-21,6.8,45.7,2.4,.7,87.5,.9,.51,2.08,,
192,진주,2016-12-22,11.5,11,8.4,2.8,65.1,2.6,1.22,3.94,,
192,진주,2016-12-23,4.1,,4.1,1.8,49.4,3.8,1.01,3.83,,
192,진주,2016-12-24,1.9,,2.7,1,54.3,6.3,1.3,6.67,,
192,진주,2016-12-25,3.4,,2.3,.5,73,7.6,1.14,6.38,,
192,진주,2016-12-26,5.7,15.3,2.4,.7,86,0,.14,.75,,
192,진주,2016-12-27,3.7,1,6.3,2.2,47.8,8.2,1.33,7.46,,
192,진주,2016-12-28,-.5,,2.7,.7,55.6,8.6,1.34,8.1,,
192,진주,2016-12-29,-.3,,5.2,1.4,47.5,8,1.3,7.22,,
192,진주,2016-12-30,-1.9,,2.1,.5,51.6,8.3,1.34,8.12,,
192,진주,2016-12-31,.3,,2.7,.5,65.3,8.4,1.25,7.59,,
192,진주,2017-01-01,1.6,,1.9,.4,71.9,7.9,1.25,7.07,,
192,진주,2017-01-02,4.4,,1.8,.5,72.8,6.9,1.22,6.47,,
192,진주,2017-01-03,2.5,,1.9,.4,68.4,6.6,1.28,6.96,,
192,진주,2017-01-04,1.8,,1.2,.2,71.9,6.4,1.1,5.65,,
192,진주,2017-01-05,4.5,,3.5,.9,68.1,2,.71,3.85,,
192,진주,2017-01-06,5.7,,3.3,1.2,60.5,7.6,1.32,7.32,,
192,진주,2017-01-07,3.8,0,1.7,.4,69.9,2.3,.84,4.25,,
192,진주,2017-01-08,6.9,2.9,3.2,.7,76.4,3.3,.85,5.04,,
192,진주,2017-01-09,4.7,,5.2,1.7,57.4,7.5,1.2,7.03,,
192,진주,2017-01-10,.8,,4.2,1.1,55.8,8.7,1.36,8.37,,
192,진주,2017-01-11,-.1,,3.5,1.4,33,8.6,1.31,7.67,,
192,진주,2017-01-12,.8,,5.4,1.4,55.3,6.9,1.47,7.57,,
192,진주,2017-01-13,-.2,,6.1,2,44.9,7.3,1.16,6.54,,
192,진주,2017-01-14,-2.8,,5.6,3,34.3,8.8,1.46,8.76,,
192,진주,2017-01-15,-2.8,,4.4,1.4,32.4,8.9,1.46,8.85,,
192,진주,2017-01-16,-2.4,,4.2,.9,39.8,8.8,1.45,8.71,,
192,진주,2017-01-17,-1.8,,2.1,.4,50,4.5,.98,5.53,,
192,진주,2017-01-18,1.2,,4,.9,49.4,6.6,1.29,6.57,,
192,진주,2017-01-19,-.5,,1.7,.4,59.1,7.6,1.07,6.61,,
192,진주,2017-01-20,-.6,,5.6,2.5,50.1,7.1,1.15,6.31,,
192,진주,2017-01-21,-1.9,,5.1,1.2,55.1,7.9,1.1,7.13,,
192,진주,2017-01-22,-.7,,4.9,2.5,42.4,8.8,1.49,8.93,,
192,진주,2017-01-23,-3.5,,5.3,1.8,39.8,9,1.49,9.12,,
192,진주,2017-01-24,-3.4,,4,1.2,44.1,9.2,1.51,9.66,,
192,진주,2017-01-25,-3.1,,1.6,.5,49,9.2,1.52,9.7,,
192,진주,2017-01-26,-.2,,2.6,.8,45.8,9,1.5,9.49,,
192,진주,2017-01-27,4.7,,4.5,1.9,33.6,6.6,1.57,8.51,,
192,진주,2017-01-28,1.9,,2,.7,45.1,8.8,1.51,9.22,,
192,진주,2017-01-29,3.6,4.6,1.9,.6,80.9,.1,.23,1.1,,
192,진주,2017-01-30,1.5,.6,6.2,2.7,47.9,8.9,1.54,9.47,,
192,진주,2017-01-31,-1.1,,2,.6,50.9,9.4,1.5,9.43,,
192,진주,2017-02-01,.9,,4.6,1.8,34.6,7.6,1.53,8.89,,
192,진주,2017-02-02,.6,,4.5,1.1,37.9,9.5,1.63,10.77,,
192,진주,2017-02-03,1.1,,2.7,.6,48.8,8.4,1.42,8.27,,
192,진주,2017-02-04,5.7,1.7,2.7,.7,49.1,3.5,1.4,6.29,,
192,진주,2017-02-05,6.3,2.7,5.9,1.5,67.3,4.6,1.76,7.16,,
192,진주,2017-02-06,2.1,,4.9,1.9,40.9,9.6,1.64,10.33,,
192,진주,2017-02-07,1.2,,3,.6,49.8,5.1,1.49,7.56,,
192,진주,2017-02-08,2.9,,3.3,.9,45.5,.6,.85,4.79,,
192,진주,2017-02-09,.1,,6.2,3,31.5,8.6,1.7,10.65,,
192,진주,2017-02-10,-2.4,,6.3,2.6,35.9,9.9,1.64,10.83,,
192,진주,2017-02-11,-1,,5,2.1,37.4,9.9,1.71,11.04,,
192,진주,2017-02-12,-.6,,3.9,.8,48.9,10,1.73,11.75,,
192,진주,2017-02-13,1.8,,2.6,.7,50,9.4,1.52,9.85,,
192,진주,2017-02-14,2.2,,4,.9,49.5,10.1,1.72,11.36,,
192,진주,2017-02-15,2.2,,2.2,.5,49.6,10,1.67,10.84,,
192,진주,2017-02-16,6.7,2.5,4.8,1,66.6,8.9,1.5,9.92,,
192,진주,2017-02-17,10.2,.4,5.3,2.2,44.1,8.6,1.57,9.67,,
192,진주,2017-02-18,2.9,,5.9,1.6,19.6,10,1.82,11.85,,
192,진주,2017-02-19,3.7,,3.9,.9,50.6,8.5,1.65,9.93,,
192,진주,2017-02-20,7.4,.4,6.6,2.7,45.3,6.9,1.75,9.13,,
192,진주,2017-02-21,1.6,,2.6,.6,48.3,9.8,1.76,11.6,,
192,진주,2017-02-22,3.4,30.1,1.5,.4,84.5,.1,.16,.85,,
192,진주,2017-02-23,4.1,,4.9,2.6,42.6,7.1,1.88,9.99,,
192,진주,2017-02-24,2.5,,4.8,2.2,31.1,10.5,1.87,12.72,,
192,진주,2017-02-25,2.3,,3.3,.8,49.6,10.4,1.8,12.14,,
192,진주,2017-02-26,3,,2.8,.7,54.5,9.9,1.46,9.78,,
192,진주,2017-02-27,5.1,,2.8,.8,60.1,8.8,1.77,11.29,,
192,진주,2017-02-28,5.1,,3,.8,55.9,10.4,1.81,12.04,,
192,진주,2017-03-01,6.5,.6,3.7,1,61.3,7.5,1.52,10.01,,
192,진주,2017-03-02,4.5,1.3,5.8,2.5,50.6,10.4,1.85,12.53,,
192,진주,2017-03-03,4,,3,.9,48.6,10.5,1.92,13.2,,
192,진주,2017-03-04,5.6,,3.7,.9,57.8,9.8,1.87,12.1,,
192,진주,2017-03-05,6.3,,3.5,.7,59.4,5.7,1.57,8.68,,
192,진주,2017-03-06,4.7,,6,2.5,32.6,10.2,1.99,13.65,,
192,진주,2017-03-07,1.2,,5.1,2,35.4,9.9,2,13.58,,
192,진주,2017-03-08,1,,5,1.7,47.5,10.4,2.06,13.52,,
192,진주,2017-03-09,5.1,,6.4,2.4,37.5,10.7,1.95,13.5,,
192,진주,2017-03-10,5.6,,4.3,1,42,10.7,2,13.91,,
192,진주,2017-03-11,6.3,,3.2,.9,41.9,10.6,1.86,13.27,,
192,진주,2017-03-12,8.3,,3,.9,49.3,9,1.88,12.61,,
192,진주,2017-03-13,9.3,,3.7,1.2,47.8,8.4,1.82,11.42,,
192,진주,2017-03-14,8.4,,5.4,1.8,43.4,10.5,1.97,13.81,,
192,진주,2017-03-15,5.5,,3.6,1.1,43,10.9,2.02,14.17,,
192,진주,2017-03-16,6.5,,3.2,1,56,6.7,1.55,10.01,,
192,진주,2017-03-17,6.5,,3.8,1,49.5,10.9,1.96,13.93,,
192,진주,2017-03-18,7.1,,3,.7,51.3,5.6,1.59,8.84,,
192,진주,2017-03-19,8.5,,3.9,1,53.8,10.3,1.98,13.51,,
192,진주,2017-03-20,7.1,7.9,2.7,.8,75.4,0,.63,3.35,,
192,진주,2017-03-21,9.2,2.3,6.4,1.6,54.4,10.6,1.96,14.01,,
192,진주,2017-03-22,6.9,,3.2,.8,55.4,4.8,1.73,10.4,,
192,진주,2017-03-23,9.3,,3,.8,49.4,4.6,1.39,9.1,,
192,진주,2017-03-24,8.1,0,2.9,1,61.3,.7,1.25,6.4,,
192,진주,2017-03-25,6.3,10.9,3,1,85.1,.1,.47,2.66,,
192,진주,2017-03-26,6.5,.7,4.2,1.1,78.4,4,2.07,9.07,,
192,진주,2017-03-27,5.6,,4.6,1.2,60.8,8,1.64,10.99,,
192,진주,2017-03-28,7.4,.6,3,1.1,55.6,9.5,1.9,13.21,,
192,진주,2017-03-29,7,4.5,2,.8,86.6,.2,.27,1.88,,
192,진주,2017-03-30,10.6,,3.6,1.2,62.4,8.7,2.15,14.47,,
192,진주,2017-03-31,9.9,2.6,3.6,1.1,69.9,1.8,1.01,6.82,,
192,진주,2017-04-01,7.7,.6,3.8,1.1,78.9,2.9,1.7,8.04,,
192,진주,2017-04-02,8.4,,4.5,1.4,58.8,9.6,1.99,14.24,,
192,진주,2017-04-03,11,,3.5,1.1,45.9,11.6,2.19,16.26,,
192,진주,2017-04-04,12.6,,3.8,1.1,43.5,10.3,2.04,14.77,,
192,진주,2017-04-05,13.4,48.5,3.6,1.3,77.4,.4,.56,2.39,,
192,진주,2017-04-06,15.6,15.7,3.8,1.5,86.4,.2,.43,2.73,,
192,진주,2017-04-07,15,,3.4,1.2,69.5,8.5,2.06,14.38,,
192,진주,2017-04-08,16.3,,3,.9,62.6,10.3,2.14,15.46,,
192,진주,2017-04-09,14.9,,4.5,1.7,56.4,4,1.62,8.77,,
192,진주,2017-04-10,13.5,.1,4.8,2.2,45.3,7.9,2.19,14.27,,
192,진주,2017-04-11,13.2,11.5,4.3,1.7,59,6.7,2.03,11.61,,
192,진주,2017-04-12,14,,6,2.4,23,9.8,1.98,14.98,,
192,진주,2017-04-13,13.7,,6.5,1.6,42.5,11.7,2.02,15.21,,
192,진주,2017-04-14,15.2,0,5.4,2.1,49,9,2.04,12.73,,
192,진주,2017-04-15,18,0,4.3,1.9,59.8,10.7,2.09,15.35,,
192,진주,2017-04-16,16.8,,3.8,1,62,9.8,2.22,15.89,,
192,진주,2017-04-17,14.2,16.5,4.3,.8,88.6,.1,.19,1.16,,
192,진주,2017-04-18,14.7,0,4.8,1.9,60.4,9,2.01,14.52,,
192,진주,2017-04-19,14.6,,5.2,1.8,36.1,12.2,2.22,17.27,,
192,진주,2017-04-20,13,.2,2.6,1,52.6,2.3,1.82,7.21,,
192,진주,2017-04-21,14.3,,3.5,1,56.1,8.1,2.14,14.93,,
192,진주,2017-04-22,12.5,0,3.6,.9,68,8.8,2.1,13.48,,
192,진주,2017-04-23,14.1,,3.6,1.3,63.4,10.8,2.2,16.83,,
192,진주,2017-04-24,14.6,,3.6,1.2,59.9,9.6,2.28,16.85,,
192,진주,2017-04-25,17.3,.1,4.1,1.3,68.1,4.8,1.63,10.61,,
192,진주,2017-04-26,14.7,1.7,2.6,.9,71.6,3.7,1.49,8.05,,
192,진주,2017-04-27,14.7,,4,2,29.5,9.5,2.26,15.71,,
192,진주,2017-04-28,15.4,,6.4,2,38.8,12.1,2.26,17.2,,
192,진주,2017-04-29,17.6,,5.4,1.5,41,12.3,2.19,17.27,,
192,진주,2017-04-30,19.6,,3.8,1.5,45.6,11.5,2,15.76,,
192,진주,2017-05-01,17.1,,3.7,1.4,52.6,11.7,2.15,16.11,,
192,진주,2017-05-02,15.7,,2.7,.9,49.6,9.2,2.33,15.19,,
192,진주,2017-05-03,16.6,,3.2,1,54.3,12.5,2.21,17.78,,
192,진주,2017-05-04,17.9,.6,3.2,1.1,61,10.2,1.92,14.53,,
192,진주,2017-05-05,17.5,4,1.8,.6,88.3,.2,.62,3.97,,
192,진주,2017-05-06,17.6,,3.4,1.2,41.9,7,2.17,14.46,,
192,진주,2017-05-07,17.6,,5.5,1.7,40.6,12.3,2.12,17.37,,
192,진주,2017-05-08,17.7,,2.7,1,50.3,5.3,1.76,10.81,,
192,진주,2017-05-09,13.6,25.3,3.3,1,88,.1,.32,1.63,,
192,진주,2017-05-10,16.6,.1,4,1.1,74.8,5.3,1.97,10.04,,
192,진주,2017-05-11,19.9,,3.7,1.3,61.6,9.1,2.17,15.39,,
192,진주,2017-05-12,17,9.1,2.9,.8,85.4,0,.37,2.19,,
192,진주,2017-05-13,18.2,,4.1,1.3,68.8,10.2,2.17,16.87,,
192,진주,2017-05-14,17.2,,4.6,1.4,42.9,12.9,2.31,18.79,,
192,진주,2017-05-15,16,,4,1.1,49,11.4,2.32,16.56,,
192,진주,2017-05-16,16.5,,2.9,1,60.6,8.6,2.31,14.65,,
192,진주,2017-05-17,17.1,,3.8,.9,60.5,10.8,2.18,16.44,,
192,진주,2017-05-18,18.8,,2.9,.9,58,12.4,2.3,18.32,,
192,진주,2017-05-19,20.3,,3,1,53.8,13,2.3,18.69,,
192,진주,2017-05-20,19.6,,3.3,1.1,52.6,10.6,2.09,15.96,,
192,진주,2017-05-21,19.3,,3.3,1,59.8,9,2.22,14.56,,
192,진주,2017-05-22,19.6,,3.4,1.2,56.6,13,2.33,18.65,,
192,진주,2017-05-23,18.9,,3.3,1,67.6,6.3,2,12.91,,
192,진주,2017-05-24,20.2,3.9,3,1.1,73.9,5,1.52,11.04,,
192,진주,2017-05-25,21.5,,5.8,1.9,51.9,11,2.28,18.44,,
192,진주,2017-05-26,17.4,,4.3,1.6,43.8,13.3,2.32,19.78,,
192,진주,2017-05-27,17.5,,3.7,1.3,54.1,13.3,2.35,19.24,,
192,진주,2017-05-28,18.7,,3.7,1.2,58,12.4,2.12,17.27,,
192,진주,2017-05-29,23.5,,3.1,1,51.6,12.2,2.21,17.94,,
192,진주,2017-05-30,23.4,,2.1,.8,51.6,8.2,1.93,14,,
192,진주,2017-05-31,21.3,.8,3.5,1.4,69.3,7.4,2.1,13.78,,
192,진주,2017-06-01,23.4,,5.1,1.6,58.1,8.8,1.94,14.48,,
192,진주,2017-06-02,20,,3.8,1.8,49.3,13.2,2.31,19.1,,
192,진주,2017-06-03,21.1,0,3.8,1.5,47,11.7,2.34,18.43,,
192,진주,2017-06-04,19.8,,3.4,1.2,46.8,13.1,2.36,19.76,,
192,진주,2017-06-05,19.5,,4.1,1.3,50.5,9.7,2.17,15.99,,
192,진주,2017-06-06,17.2,10.7,3.2,.9,68.6,.1,.98,5.38,,
192,진주,2017-06-07,19.6,12.6,5.8,1.8,72.3,2.9,1.49,9.7,,
192,진주,2017-06-08,21.3,,3.6,1.2,54.6,13.2,2.35,19.79,,
192,진주,2017-06-09,22.6,,3.7,1.4,49.6,11.8,2.34,18.29,,
192,진주,2017-06-10,22,,3.4,1.4,63.8,5.8,1.98,13.01,,
192,진주,2017-06-11,20.6,2.3,3.3,1.5,59,7.2,2.13,14.87,,
192,진주,2017-06-12,19,,3.5,1.4,56.5,7.7,1.94,13.86,,
192,진주,2017-06-13,18.8,.3,3.2,1.2,65.8,6.5,2.3,13.32,,
192,진주,2017-06-14,20.9,,4.3,1.4,61.1,12.9,2.38,19.61,,
192,진주,2017-06-15,23.3,,3.4,1.2,48.8,12.9,2.24,18.62,,
192,진주,2017-06-16,21.8,,3.3,1.2,57.6,12.5,2.09,17.35,,
192,진주,2017-06-17,22,,3.9,1.3,54.4,12.2,2.14,17.49,,
192,진주,2017-06-18,22.6,,3.8,1.2,58,12.5,2.2,18.04,,
192,진주,2017-06-19,24.1,,4.9,1.4,54.5,12.2,2.27,17.52,,
192,진주,2017-06-20,21.2,10.3,2.5,1,73.3,.2,.82,5.31,,
192,진주,2017-06-21,22.5,,3.9,1.3,66.6,7.5,2.26,14.33,,
192,진주,2017-06-22,23.5,,3.6,1.3,62.9,10.9,2.24,17.31,,
192,진주,2017-06-23,23.8,,4,1.1,62.9,6.7,1.96,11.22,,
192,진주,2017-06-24,23.1,,3.6,1.2,64.3,5.9,2.09,16.62,,
192,진주,2017-06-25,23.3,.5,3.3,1.3,71.5,5.3,2.21,13.57,,
192,진주,2017-06-26,21.7,10.5,2.8,.9,84.5,0,.7,4.13,,
192,진주,2017-06-27,22.8,0,2.6,1,70.1,1.2,1.69,11.07,,
192,진주,2017-06-28,23.4,,3.6,1.1,66.6,9.1,2.69,18.9,,
192,진주,2017-06-29,22,4.8,2.3,.8,78.8,.3,1.04,7.27,,
192,진주,2017-06-30,24.1,0,2.8,1.1,75.9,2.6,1.79,11.97,,
192,진주,2017-07-01,25.9,,3.6,1.8,74,3.2,2.29,13.3,,
192,진주,2017-07-02,26,1.4,3,1.5,79.3,.6,1.33,8.01,,
192,진주,2017-07-03,26.6,.3,3.5,1.6,72.6,2.1,1.65,9.47,,
